States/UTs,Year,CrimeHead,Offenders (Driver/Pedestrian) Died_Male,Offenders (Driver/Pedestrian) Died_Female,Offenders (Driver/Pedestrian) Died_Transgender,Offenders (Driver/Pedestrian) Died_Total,Victims Died_Male,Victims Died_Female,Victims Died_Transgender,Victims Died_Total
Manipur,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Manipur,2014,Car (4 & 5 Seater) - Private,2,0,0,2,19,4,0,23
Manipur,2014,Car (4 & 5 Seater) - Taxi,0,0,0,0,3,0,0,3
Manipur,2014,Jeep (Total),0,0,0,0,2,0,0,2
Manipur,2014,Jeep - Government,0,0,0,0,0,0,0,0
Manipur,2014,Jeep - Private,0,0,0,0,2,0,0,2
Manipur,2014,Tractor (Total),1,0,0,1,0,0,0,0
Manipur,2014,Three Wheeler/Auto rickshaw (Total),0,0,0,0,3,1,0,4
Manipur,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,0,0,0,0,3,1,0,4
Manipur,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,0,0,0,0
Manipur,2014,Two Wheeler (Total),9,0,0,9,32,0,0,32
Manipur,2014,Two Wheeler - Motor Cycle,5,0,0,5,27,0,0,27
Manipur,2014,Two Wheeler - Scooter,3,0,0,3,4,0,0,4
Manipur,2014,Two Wheeler - Others,1,0,0,1,1,0,0,1
Manipur,2014,Other Motor Vehicles,3,1,0,4,6,1,0,7
Manipur,2014,Sub Total (Motor Vehicles),23,1,0,24,117,15,0,132
Manipur,2014,Bicycle,1,0,0,1,1,0,0,1
Manipur,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Manipur,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Manipur,2014,Pedestrian,0,0,0,0,8,1,0,9
Manipur,2014,Others,0,0,0,0,0,0,0,0
Manipur,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,1,0,0,1,9,1,0,10
Manipur,2014,Total,24,1,0,25,126,16,0,142
Meghalaya,2014,Truck/Lorry (Total),19,0,0,19,19,2,0,21
Meghalaya,2014,Truck/Lorry - Normal Goods Carriers,15,0,0,15,18,2,0,20
Meghalaya,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,0,0,0,0
Meghalaya,2014,Truck/Lorry - Tankers,0,0,0,0,0,0,0,0
Meghalaya,2014,Truck/Lorry - Others,4,0,0,4,1,0,0,1
Meghalaya,2014,Bus (Total),6,1,0,7,11,5,0,16
Meghalaya,2014,Bus - Government,1,0,0,1,0,0,0,0
Meghalaya,2014,Bus - Private,5,1,0,6,11,5,0,16
Meghalaya,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Meghalaya,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),3,1,0,4,0,0,0,0
Meghalaya,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,1,0,0,1,0,0,0,0
Meghalaya,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,1,0,0,1,0,0,0,0
Meghalaya,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,1,1,0,2,0,0,0,0
Meghalaya,2014,Car (4 & 5 Seater) (Total),19,1,0,20,10,4,0,14
Meghalaya,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Meghalaya,2014,Car (4 & 5 Seater) - Private,16,0,0,16,6,2,0,8
Meghalaya,2014,Car (4 & 5 Seater) - Taxi,3,1,0,4,4,2,0,6
Meghalaya,2014,Jeep (Total),0,1,0,1,0,0,0,0
Meghalaya,2014,Jeep - Government,0,0,0,0,0,0,0,0
Meghalaya,2014,Jeep - Private,0,1,0,1,0,0,0,0
Meghalaya,2014,Tractor (Total),0,0,0,0,0,0,0,0
Meghalaya,2014,Three Wheeler/Auto rickshaw (Total),1,1,0,2,13,1,0,14
Meghalaya,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,1,1,0,2,4,0,0,4
Meghalaya,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,9,1,0,10
Meghalaya,2014,Two Wheeler (Total),26,1,0,27,9,1,0,10
Meghalaya,2014,Two Wheeler - Motor Cycle,22,1,0,23,8,1,0,9
Meghalaya,2014,Two Wheeler - Scooter,2,0,0,2,1,0,0,1
Meghalaya,2014,Two Wheeler - Others,2,0,0,2,0,0,0,0
Meghalaya,2014,Other Motor Vehicles,3,0,0,3,3,0,0,3
Meghalaya,2014,Sub Total (Motor Vehicles),77,6,0,83,65,13,0,78
Meghalaya,2014,Bicycle,0,0,0,0,0,0,0,0
Meghalaya,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Meghalaya,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Meghalaya,2014,Pedestrian,0,0,0,0,5,5,0,10
Meghalaya,2014,Others,0,0,0,0,0,0,0,0
Meghalaya,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,0,0,0,0,5,5,0,10
Meghalaya,2014,Total,77,6,0,83,70,18,0,88
Mizoram,2014,Truck/Lorry (Total),8,0,0,8,19,5,0,24
Mizoram,2014,Truck/Lorry - Normal Goods Carriers,7,0,0,7,15,3,0,18
Mizoram,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,0,0,0,0
Mizoram,2014,Truck/Lorry - Tankers,0,0,0,0,0,0,0,0
Mizoram,2014,Truck/Lorry - Others,1,0,0,1,4,2,0,6
Mizoram,2014,Bus (Total),1,0,0,1,1,3,0,4
Mizoram,2014,Bus - Government,0,0,0,0,0,0,0,0
Mizoram,2014,Bus - Private,1,0,0,1,1,3,0,4
Mizoram,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Mizoram,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),0,0,0,0,2,0,0,2
Mizoram,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Mizoram,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,0,0,0,0,2,0,0,2
Mizoram,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,0,0,0,0,0,0,0,0
Mizoram,2014,Car (4 & 5 Seater) (Total),4,0,0,4,8,7,0,15
Mizoram,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,1,0,1
Mizoram,2014,Car (4 & 5 Seater) - Private,3,0,0,3,7,5,0,12
Mizoram,2014,Car (4 & 5 Seater) - Taxi,1,0,0,1,1,1,0,2
Mizoram,2014,Jeep (Total),1,0,0,1,2,1,0,3
Mizoram,2014,Jeep - Government,0,0,0,0,1,0,0,1
Mizoram,2014,Jeep - Private,1,0,0,1,1,1,0,2
Mizoram,2014,Tractor (Total),0,0,0,0,0,0,0,0
Mizoram,2014,Three Wheeler/Auto rickshaw (Total),0,0,0,0,0,0,0,0
Mizoram,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,0,0,0,0,0,0,0,0
Mizoram,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,0,0,0,0
Mizoram,2014,Two Wheeler (Total),11,1,0,12,6,1,0,7
Mizoram,2014,Two Wheeler - Motor Cycle,9,0,0,9,3,1,0,4
Mizoram,2014,Two Wheeler - Scooter,2,1,0,3,3,0,0,3
Mizoram,2014,Two Wheeler - Others,0,0,0,0,0,0,0,0
Mizoram,2014,Other Motor Vehicles,4,0,0,4,4,2,0,6
Mizoram,2014,Sub Total (Motor Vehicles),29,1,0,30,42,19,0,61
Mizoram,2014,Bicycle,0,0,0,0,0,0,0,0
Mizoram,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Mizoram,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Mizoram,2014,Pedestrian,0,0,0,0,2,0,0,2
Mizoram,2014,Others,0,0,0,0,0,0,0,0
Mizoram,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,0,0,0,0,2,0,0,2
Mizoram,2014,Total,29,1,0,30,44,19,0,63
Nagaland,2014,Truck/Lorry (Total),1,0,0,1,2,0,0,2
Nagaland,2014,Truck/Lorry - Normal Goods Carriers,1,0,0,1,0,0,0,0
Nagaland,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,2,0,0,2
Nagaland,2014,Truck/Lorry - Tankers,0,0,0,0,0,0,0,0
Nagaland,2014,Truck/Lorry - Others,0,0,0,0,0,0,0,0
Nagaland,2014,Bus (Total),0,0,0,0,1,0,0,1
Nagaland,2014,Bus - Government,0,0,0,0,0,0,0,0
Nagaland,2014,Bus - Private,0,0,0,0,1,0,0,1
Nagaland,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Nagaland,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),0,0,0,0,0,2,0,2
Nagaland,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Nagaland,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,0,0,0,0,0,0,0,0
Nagaland,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,0,0,0,0,0,2,0,2
Nagaland,2014,Car (4 & 5 Seater) (Total),1,0,0,1,2,5,0,7
Nagaland,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Nagaland,2014,Car (4 & 5 Seater) - Private,1,0,0,1,2,5,0,7
Nagaland,2014,Car (4 & 5 Seater) - Taxi,0,0,0,0,0,0,0,0
Nagaland,2014,Jeep (Total),0,0,0,0,0,0,0,0
Nagaland,2014,Jeep - Government,0,0,0,0,0,0,0,0
Nagaland,2014,Jeep - Private,0,0,0,0,0,0,0,0
Nagaland,2014,Tractor (Total),0,0,0,0,0,0,0,0
Nagaland,2014,Three Wheeler/Auto rickshaw (Total),1,0,0,1,0,1,0,1
Nagaland,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,1,0,0,1,0,1,0,1
Nagaland,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,0,0,0,0
Nagaland,2014,Two Wheeler (Total),3,0,0,3,0,0,0,0
Nagaland,2014,Two Wheeler - Motor Cycle,3,0,0,3,0,0,0,0
Nagaland,2014,Two Wheeler - Scooter,0,0,0,0,0,0,0,0
Nagaland,2014,Two Wheeler - Others,0,0,0,0,0,0,0,0
Nagaland,2014,Other Motor Vehicles,2,0,0,2,0,0,0,0
Nagaland,2014,Sub Total (Motor Vehicles),8,0,0,8,5,8,0,13
Nagaland,2014,Bicycle,0,0,0,0,0,0,0,0
Nagaland,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Nagaland,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Nagaland,2014,Pedestrian,0,0,0,0,0,0,0,0
Nagaland,2014,Others,0,0,0,0,0,0,0,0
Nagaland,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,0,0,0,0,0,0,0,0
Nagaland,2014,Total,8,0,0,8,5,8,0,13
Odisha,2014,Truck/Lorry (Total),212,0,0,212,649,106,0,755
Odisha,2014,Truck/Lorry - Normal Goods Carriers,143,0,0,143,338,42,0,380
Odisha,2014,Truck/Lorry - Trailer/Container Carriers,19,0,0,19,65,7,0,72
Odisha,2014,Truck/Lorry - Tankers,6,0,0,6,26,0,0,26
Odisha,2014,Truck/Lorry - Others,44,0,0,44,220,57,0,277
Odisha,2014,Bus (Total),47,0,0,47,240,94,0,334
Odisha,2014,Bus - Government,0,0,0,0,3,0,0,3
Odisha,2014,Bus - Private,47,0,0,47,227,89,0,316
Odisha,2014,Bus - School Bus,0,0,0,0,10,5,0,15
Odisha,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),26,0,0,26,77,17,0,94
Odisha,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Odisha,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,12,0,0,12,38,6,0,44
Odisha,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,14,0,0,14,39,11,0,50
Odisha,2014,Car (4 & 5 Seater) (Total),114,3,0,117,207,53,0,260
Odisha,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Odisha,2014,Car (4 & 5 Seater) - Private,71,3,0,74,134,31,0,165
Odisha,2014,Car (4 & 5 Seater) - Taxi,43,0,0,43,73,22,0,95
Odisha,2014,Jeep (Total),20,0,0,20,113,22,0,135
Odisha,2014,Jeep - Government,2,0,0,2,0,0,0,0
Odisha,2014,Jeep - Private,18,0,0,18,113,22,0,135
Odisha,2014,Tractor (Total),41,0,0,41,83,20,0,103
Odisha,2014,Three Wheeler/Auto rickshaw (Total),46,1,0,47,149,30,0,179
Odisha,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,35,0,0,35,130,26,0,156
Odisha,2014,Three Wheeler/Auto rickshaw - Goods Carriers,11,1,0,12,19,4,0,23
Odisha,2014,Two Wheeler (Total),554,16,0,570,351,122,0,473
Odisha,2014,Two Wheeler - Motor Cycle,512,3,0,515,319,102,0,421
Odisha,2014,Two Wheeler - Scooter,37,11,0,48,27,19,0,46
Odisha,2014,Two Wheeler - Others,5,2,0,7,5,1,0,6
Odisha,2014,Other Motor Vehicles,48,0,0,48,152,13,0,165
Odisha,2014,Sub Total (Motor Vehicles),1108,20,0,1128,2021,477,0,2498
Odisha,2014,Bicycle,31,3,0,34,25,2,0,27
Odisha,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,5,1,0,6
Odisha,2014,Animal Drawn Vehicle,0,0,0,0,5,0,0,5
Odisha,2014,Pedestrian,24,4,0,28,103,17,0,120
Odisha,2014,Others,11,0,0,11,55,8,0,63
Odisha,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,66,7,0,73,193,28,0,221
Odisha,2014,Total,1174,27,0,1201,2214,505,0,2719
Punjab,2014,Truck/Lorry (Total),107,12,0,119,544,96,0,640
Punjab,2014,Truck/Lorry - Normal Goods Carriers,40,1,0,41,315,51,0,366
Punjab,2014,Truck/Lorry - Trailer/Container Carriers,27,6,0,33,99,18,0,117
Punjab,2014,Truck/Lorry - Tankers,13,2,0,15,20,4,0,24
Punjab,2014,Truck/Lorry - Others,27,3,0,30,110,23,0,133
Punjab,2014,Bus (Total),64,12,0,76,323,99,0,422
Punjab,2014,Bus - Government,5,0,0,5,67,22,0,89
Punjab,2014,Bus - Private,55,12,0,67,247,71,0,318
Punjab,2014,Bus - School Bus,4,0,0,4,9,6,0,15
Punjab,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),75,2,0,77,194,70,0,264
Punjab,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,2,0,0,2,3,3,0,6
Punjab,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,44,1,0,45,128,50,0,178
Punjab,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,29,1,0,30,63,17,0,80
Punjab,2014,Car (4 & 5 Seater) (Total),191,11,0,202,486,107,0,593
Punjab,2014,Car (4 & 5 Seater) - Government,3,0,0,3,9,2,0,11
Punjab,2014,Car (4 & 5 Seater) - Private,166,11,0,177,424,90,0,514
Punjab,2014,Car (4 & 5 Seater) - Taxi,22,0,0,22,53,15,0,68
Punjab,2014,Jeep (Total),55,0,0,55,77,17,0,94
Punjab,2014,Jeep - Government,2,0,0,2,3,3,0,6
Punjab,2014,Jeep - Private,53,0,0,53,74,14,0,88
Punjab,2014,Tractor (Total),53,0,0,53,95,20,0,115
Punjab,2014,Three Wheeler/Auto rickshaw (Total),34,0,0,34,55,14,0,69
Punjab,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,22,0,0,22,45,12,0,57
Punjab,2014,Three Wheeler/Auto rickshaw - Goods Carriers,12,0,0,12,10,2,0,12
Punjab,2014,Two Wheeler (Total),562,20,0,582,439,116,0,555
Punjab,2014,Two Wheeler - Motor Cycle,470,10,0,480,315,71,0,386
Punjab,2014,Two Wheeler - Scooter,74,9,0,83,94,30,0,124
Punjab,2014,Two Wheeler - Others,18,1,0,19,30,15,0,45
Punjab,2014,Other Motor Vehicles,78,8,0,86,141,29,0,170
Punjab,2014,Sub Total (Motor Vehicles),1219,65,0,1284,2354,568,0,2922
Punjab,2014,Bicycle,40,2,0,42,42,1,0,43
Punjab,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),4,0,0,4,4,0,0,4
Punjab,2014,Animal Drawn Vehicle,1,0,0,1,5,1,0,6
Punjab,2014,Pedestrian,32,8,0,40,136,12,0,148
Punjab,2014,Others,32,0,0,32,88,7,0,95
Punjab,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,109,10,0,119,275,21,0,296
Punjab,2014,Total,1328,75,0,1403,2629,589,0,3218
Rajasthan,2014,Truck/Lorry (Total),377,17,0,394,1703,185,0,1888
Rajasthan,2014,Truck/Lorry - Normal Goods Carriers,176,8,0,184,832,81,0,913
Rajasthan,2014,Truck/Lorry - Trailer/Container Carriers,97,6,0,103,476,64,0,540
Rajasthan,2014,Truck/Lorry - Tankers,40,0,0,40,167,22,0,189
Rajasthan,2014,Truck/Lorry - Others,64,3,0,67,228,18,0,246
Rajasthan,2014,Bus (Total),86,5,0,91,577,115,0,692
Rajasthan,2014,Bus - Government,17,1,0,18,105,12,0,117
Rajasthan,2014,Bus - Private,68,4,0,72,447,93,0,540
Rajasthan,2014,Bus - School Bus,1,0,0,1,25,10,0,35
Rajasthan,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),30,1,0,31,190,44,0,234
Rajasthan,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,1,0,0,1
Rajasthan,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,22,0,0,22,154,37,0,191
Rajasthan,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,8,1,0,9,35,7,0,42
Rajasthan,2014,Car (4 & 5 Seater) (Total),201,7,0,208,675,172,0,847
Rajasthan,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Rajasthan,2014,Car (4 & 5 Seater) - Private,144,7,0,151,581,136,0,717
Rajasthan,2014,Car (4 & 5 Seater) - Taxi,57,0,0,57,94,36,0,130
Rajasthan,2014,Jeep (Total),208,6,0,214,661,140,0,801
Rajasthan,2014,Jeep - Government,0,0,0,0,7,0,0,7
Rajasthan,2014,Jeep - Private,208,6,0,214,654,140,0,794
Rajasthan,2014,Tractor (Total),54,2,0,56,374,62,0,436
Rajasthan,2014,Three Wheeler/Auto rickshaw (Total),32,0,0,32,173,41,0,214
Rajasthan,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,30,0,0,30,146,35,0,181
Rajasthan,2014,Three Wheeler/Auto rickshaw - Goods Carriers,2,0,0,2,27,6,0,33
Rajasthan,2014,Two Wheeler (Total),819,19,0,838,1207,275,0,1482
Rajasthan,2014,Two Wheeler - Motor Cycle,764,12,0,776,1059,244,0,1303
Rajasthan,2014,Two Wheeler - Scooter,39,7,0,46,80,14,0,94
Rajasthan,2014,Two Wheeler - Others,16,0,0,16,68,17,0,85
Rajasthan,2014,Other Motor Vehicles,152,5,0,157,917,125,0,1042
Rajasthan,2014,Sub Total (Motor Vehicles),1959,62,0,2021,6477,1159,0,7636
Rajasthan,2014,Bicycle,12,0,0,12,21,1,0,22
Rajasthan,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,55,17,0,72
Rajasthan,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Rajasthan,2014,Pedestrian,65,23,0,88,297,55,0,352
Rajasthan,2014,Others,6,1,0,7,74,3,0,77
Rajasthan,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,83,24,0,107,447,76,0,523
Rajasthan,2014,Total,2042,86,0,2128,6924,1235,0,8159
Sikkim,2014,Truck/Lorry (Total),10,0,0,10,4,0,0,4
Sikkim,2014,Truck/Lorry - Normal Goods Carriers,3,0,0,3,2,0,0,2
Sikkim,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,0,0,0,0
Sikkim,2014,Truck/Lorry - Tankers,1,0,0,1,2,0,0,2
Sikkim,2014,Truck/Lorry - Others,6,0,0,6,0,0,0,0
Sikkim,2014,Bus (Total),0,0,0,0,0,0,0,0
Sikkim,2014,Bus - Government,0,0,0,0,0,0,0,0
Sikkim,2014,Bus - Private,0,0,0,0,0,0,0,0
Sikkim,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Sikkim,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),5,0,0,5,2,6,0,8
Sikkim,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,1,0,0,1,0,0,0,0
Sikkim,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,0,0,0,0,1,0,0,1
Sikkim,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,4,0,0,4,1,6,0,7
Sikkim,2014,Car (4 & 5 Seater) (Total),9,3,0,12,9,4,0,13
Sikkim,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Sikkim,2014,Car (4 & 5 Seater) - Private,4,1,0,5,2,1,0,3
Sikkim,2014,Car (4 & 5 Seater) - Taxi,5,2,0,7,7,3,0,10
Sikkim,2014,Jeep (Total),0,0,0,0,0,0,0,0
Sikkim,2014,Jeep - Government,0,0,0,0,0,0,0,0
Sikkim,2014,Jeep - Private,0,0,0,0,0,0,0,0
Sikkim,2014,Tractor (Total),0,0,0,0,0,0,0,0
Sikkim,2014,Three Wheeler/Auto rickshaw (Total),0,0,0,0,0,0,0,0
Sikkim,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,0,0,0,0,0,0,0,0
Sikkim,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,0,0,0,0
Sikkim,2014,Two Wheeler (Total),3,0,0,3,1,0,0,1
Sikkim,2014,Two Wheeler - Motor Cycle,3,0,0,3,1,0,0,1
Sikkim,2014,Two Wheeler - Scooter,0,0,0,0,0,0,0,0
Sikkim,2014,Two Wheeler - Others,0,0,0,0,0,0,0,0
Sikkim,2014,Other Motor Vehicles,1,0,0,1,2,3,0,5
Sikkim,2014,Sub Total (Motor Vehicles),28,3,0,31,18,13,0,31
Sikkim,2014,Bicycle,0,0,0,0,0,0,0,0
Sikkim,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Sikkim,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Sikkim,2014,Pedestrian,0,0,0,0,0,0,0,0
Sikkim,2014,Others,0,0,0,0,0,0,0,0
Sikkim,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,0,0,0,0,0,0,0,0
Sikkim,2014,Total,28,3,0,31,18,13,0,31
Tamil Nadu,2014,Truck/Lorry (Total),411,51,0,462,1980,232,0,2212
Tamil Nadu,2014,Truck/Lorry - Normal Goods Carriers,314,43,0,357,880,141,0,1021
Tamil Nadu,2014,Truck/Lorry - Trailer/Container Carriers,19,2,0,21,114,14,0,128
Tamil Nadu,2014,Truck/Lorry - Tankers,20,2,0,22,130,16,0,146
Tamil Nadu,2014,Truck/Lorry - Others,58,4,0,62,856,61,0,917
Tamil Nadu,2014,Bus (Total),233,73,0,306,1401,276,0,1677
Tamil Nadu,2014,Bus - Government,208,34,0,242,820,123,0,943
Tamil Nadu,2014,Bus - Private,16,37,0,53,559,147,0,706
Tamil Nadu,2014,Bus - School Bus,9,2,0,11,22,6,0,28
Tamil Nadu,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),35,4,0,39,341,96,0,437
Tamil Nadu,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,8,2,0,10
Tamil Nadu,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,29,4,0,33,275,78,0,353
Tamil Nadu,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,6,0,0,6,58,16,0,74
Tamil Nadu,2014,Car (4 & 5 Seater) (Total),668,90,0,758,1554,333,0,1887
Tamil Nadu,2014,Car (4 & 5 Seater) - Government,8,4,0,12,7,3,0,10
Tamil Nadu,2014,Car (4 & 5 Seater) - Private,601,76,0,677,1120,275,0,1395
Tamil Nadu,2014,Car (4 & 5 Seater) - Taxi,59,10,0,69,427,55,0,482
Tamil Nadu,2014,Jeep (Total),102,22,0,124,94,36,0,130
Tamil Nadu,2014,Jeep - Government,11,4,0,15,2,0,0,2
Tamil Nadu,2014,Jeep - Private,91,18,0,109,92,36,0,128
Tamil Nadu,2014,Tractor (Total),33,3,0,36,137,77,0,214
Tamil Nadu,2014,Three Wheeler/Auto rickshaw (Total),74,10,0,84,172,57,0,229
Tamil Nadu,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,52,9,0,61,158,51,0,209
