Sl. No.,States/UTs,Two-Wheelers - Number of Road Accidents - Fatal - 2014,Two-Wheelers - Number of Road Accidents - Fatal - 2014 per 1L people,Two-Wheelers - Number of Road Accidents - Total - 2014,Two-Wheelers - Number of Road Accidents - Total - 2014 per 1L people,Two-Wheelers - Number of Persons - Killed - 2014,Two-Wheelers - Number of Persons - Killed - 2014 per 1L people,Two-Wheelers - Number of Persons - Injured - 2014,Two-Wheelers - Number of Persons - Injured - 2014 per 1L people,Auto-Rickshaws - Number of Road Accidents - Fatal - 2014,Auto-Rickshaws - Number of Road Accidents - Fatal - 2014 per 1L people,Auto-Rickshaws - Number of Road Accidents - Total - 2014,Auto-Rickshaws - Number of Road Accidents - Total - 2014 per 1L people,Auto-Rickshaws - Number of Persons - Killed - 2014,Auto-Rickshaws - Number of Persons - Killed - 2014 per 1L people,Auto-Rickshaws - Number of Persons - Injured - 2014,Auto-Rickshaws - Number of Persons - Injured - 2014 per 1L people,"Cars, Jeeps,Taxis - Number of Road Accidents - Fatal - 2014","Cars, Jeeps,Taxis - Number of Road Accidents - Fatal - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Road Accidents - Total - 2014","Cars, Jeeps,Taxis - Number of Road Accidents - Total - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Persons - Killed - 2014","Cars, Jeeps,Taxis - Number of Persons - Killed - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Persons - Injured - 2014","Cars, Jeeps,Taxis - Number of Persons - Injured - 2014 per 1L people",Buses - Number of Road Accidents - Fatal - 2014,Buses - Number of Road Accidents - Fatal - 2014 per 1L people,Buses - Number of Road Accidents - Total - 2014,Buses - Number of Road Accidents - Total - 2014 per 1L people,Buses - Number of Persons - Killed - 2014,Buses - Number of Persons - Killed - 2014 per 1L people,Buses - Number of Persons - Injured - 2014,Buses - Number of Persons - Injured - 2014 per 1L people,"Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Fatal - 2014","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Fatal - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Total - 2014","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Total - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Persons - Killed - 2014","Trucks, Tempos,MAVs,Tractors - Number of Persons - Killed - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Persons - Injured - 2014","Trucks, Tempos,MAVs,Tractors - Number of Persons - Injured - 2014 per 1L people",Other Motor Vehicles - Number of Road Accidents - Fatal - 2014,Other Motor Vehicles - Number of Road Accidents - Fatal - 2014 per 1L people,Other Motor Vehicles - Number of Road Accidents - Total - 2014,Other Motor Vehicles - Number of Road Accidents - Total - 2014 per 1L people,Other Motor Vehicles - Number of Persons - Killed - 2014,Other Motor Vehicles - Number of Persons - Killed - 2014 per 1L people,Other Motor Vehicles - Number of Persons - Injured - 2014,Other Motor Vehicles - Number of Persons - Injured - 2014 per 1L people,Other Vehicles/Objects - Number of Road Accidents - Fatal - 2014,Other Vehicles/Objects - Number of Road Accidents - Fatal - 2014 per 1L people,Other Vehicles/Objects - Number of Road Accidents - Total - 2014,Other Vehicles/Objects - Number of Road Accidents - Total - 2014 per 1L people,Other Vehicles/Objects - Number of Persons - Killed - 2014,Other Vehicles/Objects - Number of Persons - Killed - 2014 per 1L people,Other Vehicles/Objects - Number of Persons - Injured - 2014,Other Vehicles/Objects - Number of Persons - Injured - 2014 per 1L people,Population
1,Andhra Pradesh,1961,3.74160573805482,7239,13.8120774797444,2003,3.82174211796216,7333,13.9914303300133,950,1.81260859314231,4442,8.47537617972438,977,1.86412483736846,7173,13.6861488827472,889,1.69622004137212,3853,7.35155885197614,911,1.73819624037121,5429,10.358581107547,550,1.04940497497713,1732,3.30467166665525,567,1.08184112874915,2242,4.27775627981586,1701,3.24552338624745,4324,8.25023111236565,1758,3.35427990183599,5144,9.81479852960428,760,1.45008687451385,1571,2.99748221034376,808,1.54167130869367,1321,2.52047994899052,466,0.88913221516244,1279,2.44034356908318,884,1.68667999614506,1289,2.45942365953731,52410653
2,Arunachal Pradesh,15,1.08402885829358,34,2.45713207879878,21,1.51764040161101,30,2.16805771658716,7,0.505880133870337,17,1.22856603939939,7,0.505880133870337,36,2.60166925990459,17,1.22856603939939,42,3.03528080322202,25,1.80671476382263,72,5.20333851980918,5,0.361342952764527,15,1.08402885829358,7,0.505880133870337,27,1.95125194492844,21,1.51764040161101,42,3.03528080322202,26,1.87898335437554,85,6.14283019699695,0,0,0,0,0,0,0,0,27,1.95125194492844,55,3.97477248040979,33,2.38486348824588,58,4.19157825206851,1383727
3,Assam,489,1.56702763634294,1508,4.83246968426412,537,1.72084630003305,1342,4.30051347233584,65,0.20829610708035,292,0.935730204114803,75,0.240341662015788,296,0.948548426088978,475,1.52216385943333,1612,5.16574345559268,533,1.70802807805887,1422,4.55687791181935,176,0.564001766863717,628,2.01246084994554,246,0.788320651411786,788,2.52518972891255,517,1.65675519016217,1766,5.65924500159843,637,2.04130184938743,1538,4.92860634907044,374,1.1985037545854,1089,3.48976093246925,401,1.28502675291108,895,2.86807716672174,73,0.233932551028701,249,0.797934317892418,93,0.298023660899578,218,0.698593097592558,31205576
4,Bihar,769,0.738716664906171,1750,1.68108473808296,820,0.78770827727316,1131,1.08646105072676,126,0.121038101141973,354,0.340059427017925,144,0.13832925844797,326,0.313162071208598,726,0.697410011341846,1490,1.43132357699635,786,0.755047202361834,1077,1.03458757880877,478,0.459176288459232,961,0.92315567617013,543,0.521616578730885,680,0.653221498226523,1521,1.46110279235668,2828,2.71663293674207,1639,1.57445593469599,1818,1.74640688790562,271,0.260327979440276,596,0.572529430798541,291,0.279540376446938,443,0.425554593697573,614,0.589820588104537,1577,1.51489750397533,690,0.662827696729854,1165,1.11912212563809,104099452
5,Chhattisgarh,1074,4.20431268530391,4787,18.7393341010706,1126,4.40787344846574,4295,16.8133361111548,31,0.121353531884936,311,1.21744994891016,37,0.144841312249762,296,1.1587304979981,469,1.83596149851726,2978,11.6577683210755,648,2.53668027940124,3159,12.366316362081,148,0.579365248999049,675,2.64237529104296,189,0.739865081492028,1330,5.20645798086983,940,3.67975225715612,2907,11.3798295867583,1082,4.23562972579034,2448,9.58301438884913,766,2.99860662657616,1648,6.45131034020562,786,3.07689922779225,1191,4.66232440241802,142,0.555877468634222,515,2.01603448131426,154,0.602853029363875,438,1.71460796663232,25545198
6,Goa,130,8.91299205715285,1907,130.746737330696,134,9.18723796660371,838,57.4545180299545,2,0.137122954725428,34,2.33109023033228,2,0.137122954725428,17,1.16554511516614,60,4.11368864176285,1374,94.2034698963693,63,4.319373073851,533,36.5432674343267,23,1.57691397934243,354,24.2707629864008,23,1.57691397934243,277,18.9915292294718,33,2.26252875296957,315,21.596865369255,33,2.26252875296957,105,7.19895512308499,0,0,3,0.205684432088143,0,0,0,0,35,2.399651707695,242,16.5918775217768,35,2.399651707695,109,7.47320103253585,1458545
7,Gujarat,1535,2.53972174444569,5562,9.2025617867146,1689,2.79452118981678,5123,8.47621791322166,507,0.838852719500953,2186,3.61682849078715,596,0.986106944423211,2641,4.36964503392903,1165,1.92754125881383,4415,7.30480228125583,1369,2.26506779683788,4620,7.64398336113295,364,0.602253234513505,1165,1.92754125881383,438,0.724689331639877,1372,2.27003142239706,1873,3.09895689077966,5458,9.03048943399645,2081,3.44310159621594,4450,7.3627112461129,702,1.16148838084747,1763,2.91695728694316,793,1.31205168947585,1725,2.85408469652691,917,1.51721487925518,3163,5.23331588122587,989,1.63634189267543,2562,4.23893622753736,60439692
8,Haryana,300,1.18336370502025,1131,4.46128116792633,318,1.25436552732146,1370,5.40402758625913,129,0.508846393158706,405,1.59754100177733,180,0.710018223012148,250,0.986136420850206,898,3.54220202369394,2647,10.441212423962,989,3.90115568088341,2281,8.99750870383728,315,1.24253189027126,644,2.54028742011013,330,1.30170007552227,617,2.43378468665831,1288,5.08057484022026,2934,11.573297035098,1353,5.33697030964131,2432,9.5931351020308,597,2.35489377299029,1271,5.01351756360245,605,2.3864501384575,1424,5.61703305316277,687,2.70990288449637,1644,6.48483310351095,708,2.79273834384778,570,2.24839103953847,25351462
9,Himachal Pradesh,165,2.40363534550146,814,11.8579343711405,169,2.46190529327119,1083,15.776588358655,230,3.35052199675961,797,11.6102870931192,303,4.41394854355722,1314,19.1416778423571,204,2.97176733625635,664,9.67281132977556,444,6.46796420244029,1984,28.9018940937872,109,1.58785607672521,409,5.95810215945513,126,1.83550335474657,584,8.50741237438092,123,1.79180089391927,373,5.43367262952754,157,2.28709544996199,610,8.88616703488418,0,0,0,0,0,0,0,0,0,0,1,0.0145674869424331,0,0,1,0.0145674869424331,6864602
10,Jammu & Kashmir,226,1.8020457525064,1101,8.77899280313958,256,2.04125536567096,709,5.65332052445591,10,0.0797365377215221,64,0.510313841417741,15,0.119604806582283,174,1.38741575635448,140,1.11631152810131,725,5.78089898481035,170,1.35552114126587,769,6.13173975078505,98,0.781418069670916,1590,12.678109497722,105,0.837233646075982,1519,12.1119800798992,204,1.62662536951905,1364,10.8760637452156,222,1.77015113741779,1473,11.7451920063802,198,1.57878344688614,951,7.58294473731675,215,1.71433556101272,2949,23.5143049740769,10,0.0797365377215221,66,0.526261148962046,9,0.0717628839493698,450,3.58814419746849,12541302
11,Jharkhand,538,1.63088945861563,1190,3.60735772444722,607,1.84005557877266,892,2.70400259681254,117,0.354672986353214,251,0.760879654484246,129,0.391049702902262,245,0.742691296209722,318,0.963982988549762,776,2.35236100350508,397,1.20346303916433,715,2.16744602771409,208,0.630529753516825,592,1.79458468308635,271,0.821507515399325,692,2.09772398766175,705,2.13713209725655,1575,4.7744440470625,826,2.50393065579278,1290,3.91049702902262,170,0.515336817778174,374,1.13374099911198,194,0.58809025087627,256,0.776036619713016,203,0.615372788288055,443,1.34290711926901,204,0.618404181333809,266,0.806350550170555,32988134
12,Karnataka,2473,4.04777474115561,10752,17.5987359550769,3040,4.97583308253661,13930,22.8004456709655,361,0.590880178551223,2613,4.276924948904,441,0.72182315440745,4172,6.82867619090222,1430,2.34060569343005,7661,12.5394267254319,1538,2.51737871083596,10676,17.4743401280135,861,1.40927377765264,3849,6.29999392588271,1039,1.70062189893274,4868,7.96788008085139,2229,3.64839866479412,8238,13.4838529387949,2691,4.40459435036383,11508,18.8361470769182,1172,1.91831459629372,5540,9.0678010780437,907,1.48456598876997,7342,12.0172916092052,959,1.56967892307652,5060,8.28214322290634,796,1.30288260976946,4335,7.09547250420928,61095297
13,Kerala,951,2.84678879081254,12113,36.2598870905492,963,2.8827104159332,11787,35.2840162747712,251,0.751360658773867,5037,15.0781021443983,265,0.793269221414641,5782,17.3082363706394,1000,2.99346876005525,8718,26.0970606501617,1065,3.18804422945884,10257,30.7040090718867,743,2.22414728872105,4843,14.4973692049476,821,2.45763785200536,7055,21.1189221021898,585,1.75117922463232,3934,11.7763061020573,629,1.88289185007475,4534,13.5723873580905,293,0.877086346696188,1637,4.90030836021044,306,0.916001440576906,1681,5.03202098565287,0,0,0,0,0,0,0,0,33406061
14,Madhya Pradesh,2024,2.78684968797128,19688,27.1084469648116,2255,3.10491405453322,18754,25.8224204783663,152,0.209289107001796,2045,2.81576463038601,187,0.257480677692999,2878,3.96272401283664,1278,1.75968078123878,11269,15.5163088605476,1578,2.17275138716338,11622,16.0023552735189,580,0.798603171454222,3361,4.62776768837524,695,0.956946903725317,5604,7.71615891867148,2483,3.41884771503592,11243,15.4805094080342,2832,3.8993865199282,11407,15.7063213392729,890,1.22544279757631,5085,7.00154677042192,959,1.32044903693896,4472,6.157505832316,147,0.202404596903053,781,1.0753604774237,63,0.0867448272441654,598,0.823387407809697,72626809
15,Maharashtra,3715,3.30591506158261,14089,12.53756051215,4068,3.62004373365224,11310,10.06457586716,523,0.465408769100325,3326,2.95975060425943,624,0.555286944395034,3410,3.03450076985107,1786,1.58933090174604,18398,16.3720660304164,2014,1.79222420835192,8533,7.59337098801734,432,0.384429423042716,4409,3.92349381063735,477,0.424474154609665,3143,2.7969020292205,2440,2.17131433385238,10841,9.64722077594,2540,2.26030262622337,7014,6.24163882690187,1487,1.32325590755675,7155,6.36711231914498,1491,1.32681543925159,3957,3.52126672912043,1145,1.01891594764794,3409,3.03361088692736,1589,1.41402396577517,3088,2.74795846841645,112374333
16,Manipur,33,1.15554553304615,201,7.03832279219019,33,1.15554553304615,323,11.3103396113305,5,0.175082656522144,42,1.47069431478601,5,0.175082656522144,87,3.04643822348531,26,0.910429813915149,178,6.23294257218833,30,1.05049593913286,323,11.3103396113305,8,0.280132250435431,38,1.3306281895683,10,0.350165313044288,112,3.92185150609603,38,1.3306281895683,127,4.44709947566246,50,1.75082656522144,224,7.84370301219206,39,1.36564472087272,157,5.49759541479532,40,1.40066125217715,226,7.91373607480091,0,0,0,0,0,0,0,0,2855794
17,Meghalaya,14,0.471874748263248,45,1.51674026227473,14,0.471874748263248,25,0.842633479041515,8,0.269642713293285,27,0.910044157364836,8,0.269642713293285,15,0.505580087424909,36,1.21339220981978,110,3.70758730778266,38,1.2808028881431,66,2.2245523846696,5,0.168526695808303,52,1.75267763640635,11,0.370758730778266,39,1.31450822730476,33,1.1122761923348,77,2.59531111544786,34,1.14598153149646,33,1.1122761923348,14,0.471874748263248,167,5.62879163999732,16,0.539285426586569,95,3.20200722035776,17,0.57299076574823,64,2.15714170634628,20,0.674106783233212,38,1.2808028881431,2966889
18,Mizoram,15,1.36710882003926,32,2.91649881608376,16,1.45824940804188,27,2.46079587607067,0,0,2,0.182281176005235,0,0,2,0.182281176005235,17,1.5493899960445,27,2.46079587607067,21,1.91395234805497,45,4.10132646011779,5,0.455702940013088,5,0.455702940013088,5,0.455702940013088,12,1.09368705603141,34,3.098779992089,43,3.91904528411255,40,3.6456235201047,88,8.02037174423035,17,1.5493899960445,23,2.0962335240602,21,1.91395234805497,60,5.46843528015705,0,0,0,0,0,0,0,0,1097206
19,Nagaland,10,0.505432898222999,56,2.83042423004879,12,0.606519477867599,54,2.72933765040419,15,0.758149347334499,58,2.93151080969339,18,0.909779216801398,36,1.8195584336028,15,0.758149347334499,75,3.79074673667249,19,0.960322506623698,55,2.77988094022649,6,0.303259738933799,21,1.0614090862683,7,0.353803028756099,8,0.404346318578399,8,0.404346318578399,17,0.859235926979098,8,0.404346318578399,14,0.707606057512199,14,0.707606057512199,78,3.94237660613939,17,0.859235926979098,63,3.18422725880489,0,0,0,0,0,0,0,0,1978502
20,Odisha,989,2.35620828004467,2637,6.28242794183801,1050,2.50153558548726,2614,6.22763240044162,145,0.345450152281574,575,1.36988853490969,150,0.35736222649818,756,1.80110562155083,496,1.18167776228732,1562,3.72133198526772,587,1.39847751302955,1959,4.66715067806624,267,0.636104763166761,766,1.82492976998404,332,0.790961727982639,1172,2.79219019637245,1099,2.61827391281,2703,6.43966732149721,1227,2.92322301275512,3147,7.49745951193182,354,0.843374854535706,1008,2.40147416206777,429,1.0220559677848,1081,2.57539044563022,156,0.371656715558108,397,0.945818692798517,156,0.371656715558108,358,0.85290451390899,41974218
21,Punjab,1080,3.89282645080415,1598,5.75994135961577,1178,4.24606440652527,987,3.55761083976268,98,0.353237955721118,185,0.666826753147008,101,0.364051362528907,155,0.558692685069115,1117,4.02619180143355,1725,6.21770891447886,1184,4.26769122014085,1120,4.03700520824134,331,1.19307921779275,559,2.01489813518474,389,1.40213841607668,510,1.83827915732418,950,3.42424548913328,1384,4.9885850073268,1017,3.66574490784058,921,3.31971588999132,432,1.55713058032166,578,2.08338304496741,440,1.5859663318091,293,1.05610939822742,277,0.998437895252547,362,1.30481775480658,312,1.12459430801009,141,0.508230119966098,27743338
22,Rajasthan,1851,2.70028038713705,5955,8.68728779330154,1902,2.77468033297389,6161,8.98780522158368,124,0.180893985956237,491,0.716281831488003,101,0.14734106920629,617,0.900093462379018,2408,3.51284450147273,6888,10.0483691553755,2654,3.87171482845043,8187,11.9433795405138,705,1.02846983950925,1820,2.655056890648,826,1.20498735806332,2840,4.14305580738478,2883,4.20578517348251,6385,9.31458145427882,3314,4.83453765692717,6659,9.71429881034341,1353,1.97378679837733,3074,4.48442026475381,1481,2.16051607420312,2979,4.34583213035186,10,0.0145882246738901,15,0.0218823370108351,11,0.0160470471412791,10,0.0145882246738901,68548437
23,Sikkim,5,0.818897534627082,31,5.07716471468791,5,0.818897534627082,30,4.91338520776249,0,0,0,0,0,0,0,0,36,5.89606224931499,123,20.1448793518262,41,6.71495978394207,226,37.0141685651441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.80157457617958,48,7.86141633241999,12,1.965354083105,96,15.72283266484,1,0.163779506925416,1,0.163779506925416,1,0.163779506925416,0,0,610577
24,Tamil Nadu,4570,6.3342870801473,24008,33.2764910766251,4704,6.52001891138138,25091,34.7775923693602,302,0.418589649497699,2910,4.033430066352,313,0.433836292360198,4082,5.65789056042917,3117,4.32034416385539,18616,25.8028639571165,3505,4.85813483936899,23816,33.0103678557523,1830,2.53648694894301,6973,9.66498551638231,1983,2.74855389057595,9853,13.656833829473,2199,3.04794251405775,8959,12.4176975822844,2432,3.37089413105432,10838,15.0221013948876,1248,1.72980093567261,2082,2.88577367633844,1324,1.83514137726806,658,0.912026454865848,899,1.24606653939878,3702,5.13118835245193,929,1.28764829266014,3387,4.69457994320764,72147030
25,Telangana,1342,4.16061073549181,4596,14.2490066619377,1399,4.33732818103803,3725,11.5486400817489,598,1.85398302520425,2567,7.95848566170452,671,2.0803053677459,3794,11.7625612000417,817,2.53295005282922,3605,11.1766033542831,911,2.82437882267737,3846,11.9237771152768,481,1.49124721592516,1457,4.51714593264647,524,1.62456037660038,1310,4.06140094150094,1872,5.80377294846547,4485,13.9048726890319,2007,6.22231426686442,6200,19.2218975857297,823,2.5515518892025,1854,5.74796743934561,979,3.03519963490796,951,2.94839106516595,383,1.18741722182814,1514,4.6938633781927,415,1.286627015819,1810,5.61155397260818,32254880
26,Tripura,37,1.00709950714728,142,3.86508459499766,39,1.06153731834443,144,3.91952240619481,19,0.517159206372926,90,2.44970150387175,19,0.517159206372926,148,4.02839802858911,35,0.952661695950126,138,3.75620897260335,43,1.17041294073873,298,8.11123386837536,6,0.16331343359145,27,0.734910451161526,9,0.244970150387175,125,3.40236319982188,33,0.898223884752976,128,3.4840199166176,37,1.00709950714728,234,6.36922391006656,24,0.653253734365801,143,3.89230350059623,26,0.707691545562951,231,6.28756719327083,14,0.38106467838005,48,1.3065074687316,15,0.408283583978626,45,1.22485075193588,3673917
27,Uttarakhand,81,0.803070147086759,231,2.29023708613631,96,0.951786840991714,250,2.47861156508259,6,0.0594866775619821,14,0.138802247644625,8,0.0793155700826429,42,0.416406742933875,189,1.87383034320244,439,4.35244190828503,253,2.50835490386358,563,5.58183324456599,83,0.82289903960742,146,1.44750915400823,135,1.3384502451446,225,2.23075040857433,283,2.80578829167349,459,4.55073083349163,308,3.05364944818175,332,3.29159615842968,55,0.54529454431817,90,0.892300163429732,68,0.674182345702464,93,0.922043502210723,16,0.158631140165286,31,0.307347834070241,10,0.0991444626033036,26,0.257775602768589,10086292
28,Uttar Pradesh,2189,1.09552792837756,4899,2.45180051216156,2492,1.24717021357555,3513,1.75814966303808,646,0.323303353920467,1476,0.738693112053574,777,0.388864869963162,1183,0.592055522736706,2692,1.34726413119798,6339,3.17247671904309,3168,1.58548765513938,4821,2.41276388428881,1079,0.54000668557304,2328,1.16509320112515,1251,0.626087454728334,1956,0.97891851434742,3882,1.94282294105147,8380,4.19393514838005,4501,2.25261361609291,5480,2.74257334285473,1694,0.847795482262029,3621,1.8122003785542,1896,0.948890339060689,2355,1.17860588000418,1660,0.830779516266215,3991,1.9973741261557,2202,1.10203403302302,3029,1.51592238239179,199812341
29,West Bengal,1257,1.37714012039185,3514,3.84985710664833,1333,1.46040396219756,2409,2.63924466986791,90,0.0986019179278172,255,0.279372100795482,90,0.0986019179278172,571,0.625574390408707,578,0.633243428469759,1465,1.60502010849169,674,0.738418807592764,1462,1.6017333778941,660,0.723080731470659,1262,1.38261800472117,670,0.734036500129305,1649,1.80660625181078,1666,1.82523105853048,3440,3.76878441857434,1795,1.96656047422702,3182,3.48612558718127,747,0.818395918800882,1943,2.12870585037499,750,0.821682649398476,1626,1.7814079838959,491,0.537928241139536,996,1.09119455840118,563,0.61680977548179,1119,1.22595051290253,91276115
30,Andaman & Nicobar Islands,4,1.05102461762411,92,24.1735662053544,5,1.31378077203013,98,25.7501031317906,3,0.78826846321808,26,6.83166001455669,3,0.78826846321808,39,10.247490021835,6,1.57653692643616,58,15.2398569555495,6,1.57653692643616,61,16.0281254187676,3,0.78826846321808,21,5.51787924252656,3,0.78826846321808,48,12.6122954114893,3,0.78826846321808,13,3.41583000727835,5,1.31378077203013,34,8.9337092498049,1,0.262756154406027,8,2.10204923524821,1,0.262756154406027,3,0.78826846321808,0,0,0,0,0,0,0,0,380581
31,Chandigarh,20,1.89492633473874,61,5.77952532095315,20,1.89492633473874,76,7.2007200720072,1,0.0947463167369369,9,0.852716850632432,1,0.0947463167369369,15,1.42119475105405,51,4.83206215358378,195,18.4755317637027,52,4.92680847032072,182,17.2438296461225,17,1.61068738452793,35,3.31612108579279,23,2.17916528494955,25,2.36865791842342,15,1.42119475105405,35,3.31612108579279,15,1.42119475105405,26,2.46340423516036,20,1.89492633473874,34,3.22137476905585,20,1.89492633473874,11,1.04220948410631,0,0,0,0,0,0,0,0,1055450
32,Dadra & Nagar Haveli,12,3.49132551082456,18,5.23698826623685,14,4.07321309596199,15,4.3641568885307,2,0.581887585137427,4,1.16377517027485,2,0.581887585137427,9,2.61849413311842,4,1.16377517027485,10,2.90943792568714,6,1.74566275541228,18,5.23698826623685,4,1.16377517027485,5,1.45471896284357,4,1.16377517027485,2,0.581887585137427,22,6.4007634365117,35,10.183032739905,24,6.98265102164913,39,11.3468079101798,8,2.32755034054971,14,4.07321309596199,8,2.32755034054971,13,3.78226930339328,1,0.290943792568714,1,0.290943792568714,1,0.290943792568714,0,0,343709
33,Daman & Diu,8,3.28883809461165,14,5.75546666557039,8,3.28883809461165,22,9.04430476018204,0,0,1,0.411104761826456,0,0,2,0.822209523652912,0,0,6,2.46662857095874,0,0,10,4.11104761826456,1,0.411104761826456,1,0.411104761826456,1,0.411104761826456,0,0,3,1.23331428547937,8,3.28883809461165,3,1.23331428547937,8,3.28883809461165,3,1.23331428547937,9,3.69994285643811,3,1.23331428547937,7,2.87773333278519,0,0,0,0,0,0,0,0,243247
34,Delhi ,137,0.816061957806499,1305,7.77343689735388,143,0.851801897564448,1361,8.10700966842807,27,0.16082972891077,228,1.35811771080206,27,0.16082972891077,243,1.44746756019693,282,1.6797771686236,2806,16.7143784934674,298,1.77508367464479,3025,18.0188862946326,112,0.667145542148379,531,3.16298466857848,113,0.673102198774704,515,3.06767816255728,352,2.09674313246633,1227,7.30881768050055,363,2.16226635535591,1059,6.30809936727798,55,0.327616114447865,317,1.88826015054497,55,0.327616114447865,323,1.92400009030291,664,3.95521999987968,2209,13.1582544875515,672,4.00287325289027,1757,10.4658456924527,16787941
35,Lakshadweep,0,0,1,1.55103686814636,0,0,1,1.55103686814636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64473
36,Puducherry,45,3.60590503007725,533,42.7099418006928,55,4.40721725898331,599,47.9986025114728,3,0.240393668671817,38,3.04498646984301,3,0.240393668671817,42,3.36551136140544,26,2.08341179515575,231,18.5103124877299,18,1.4423620120309,181,14.5037513431996,17,1.3622307891403,91,7.29194128304511,12,0.961574674687268,157,12.5806019938251,43,3.44564258429604,168,13.4620454456218,25,2.00328057226514,158,12.6607332167157,11,0.881443451796662,50,4.00656114453028,38,3.04498646984301,186,14.9044074576527,0,0,0,0,0,0,0,0,1247953
Total ,Total ,30064,2.48287371907131,133634,11.0363340398608,32524,2.68603595127313,127452,10.5257856986122,5553,0.458601575372639,31172,2.57437930983538,6279,0.51855920975415,40848,3.3734840898292,22803,1.88321478898294,111218,9.18508013862671,26038,2.15038138295566,113413,9.36635700841654,10710,0.88449898653718,41365,3.41618119310088,12185,1.00631373958502,51356,4.24130064916932,32081,2.64945023222215,96215,7.94603828101538,35711,2.94923840412971,94532,7.80704558313097,14603,1.20600734831022,43981,3.63222688393013,15380,1.27017688262762,39006,3.22136017449759,10014,0.827018940353251,31815,2.62748228353692,11554,0.954201801162519,26867,2.2188454034822,1210854977